hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Jupiter Albufeira Hotel - Family & Fun,pfairc204456,0,pfairc204456wrote a review Sep 2021,"The hotel was spotless, room was comfortable. Tv not catering for English. WiFi was rubbish, lifts are a nightmare at busy times, snack area was absolutely diabolical food wise don’t think I’ve ate anything as bad in my life",Sep,2021,Sep 2021,2021-09-01,2021,1
Belmar Spa & Beach Resort,hansluxner,0,hansluxnerwrote a review Sep 2024,Very pleasant stay at the Belmar I can recommend the Belmar at any time. Very helpful staff and nice rooms.,Sep,2024,Sep 2024,2024-09-01,2024,5
Herdade Da Matinha,Ana S,0,Ana Swrote a review Feb 2020,"We stayed in a family room and these ones clearly need to be updated - the air conditioning was notworking and the shower is too small and not prepared to give bath to babies . The restaurant in thehotel should have more choices in the menu. As it is, the local cuisine is not represented and it is tooexpensive. On Sunday morning, one of the bedrooms didn't have hot water in the shower. Hotel is not customer oriented. Has a lot of potential though...",Feb,2020,Feb 2020,2020-02-01,2020,2
Tivoli Carvoeiro Algarve Resort,marques661,0,marques661wrote a review Nov 2023,"I have faced the situation of musty smell in my room. I stayed there for 3 nights, and the problem was not solved. It looks that they tried to solve the problem, but it did not work, and I also did not receive their feedback about the measures done.",Nov,2023,Nov 2023,2023-11-01,2023,1
Jupiter Albufeira Hotel - Family & Fun,Lollysam,1,Lollysamwrote a review Apr 2022,"Highly recommend this hotel. The kids club and entertainment team were beyond amazing! They really made our holiday! Our daughters, Daisy 9 and Rosie 6, absolutely loved kids club. The shows were incredible and everyone was so friendly. Really did not want to leave and will definitely be returning!",Apr,2022,Apr 2022,2022-04-01,2022,5
Hotel Madeira,benidormnorm,22,benidormnormwrote a review Sep 2014,"my wife and myself stayed at this gem of a hotel for 2 weeks on 8th sept the staff were very friendly, good continental breakfasts, reasonable bar prices, excellent location on the flat within a few hundred yards from the marina although a lot of work is going on at the moment on promenade the hotel itself was spotless after a recent refurbishment would definitely go go back to this hotel on this beautiful island, with loads of restaurants nearby I might add",Sep,2014,Sep 2014,2014-09-01,2014,4
Jupiter Albufeira Hotel - Family & Fun,Jason B,12,Jason Bwrote a review Jun 2023,"Fantastic place to take the family.Really good quality and choice of food all day everyday, very clean and friendly staff who work so hard.Comfy rooms, beds etc, also kept very clean by staff.Swimming pools and facilities are great, with a swim up bar. Life guards on duty and the entertainment staff keep kids busy during the day.Water slides good fun, although become a bit boring (sorry, this is a bit harsh)……if there was one higher, more exciting slides it would be almost perfect.Hotel cleanliness was so good, always spotless.Did I mention the food……it was so good, along with the drinks choice.Great choice of hotel and will definitely be going back",Jun,2023,Jun 2023,2023-06-01,2023,4
Jupiter Albufeira Hotel - Family & Fun,Lozzimoos,18,Lozzimooswrote a review Aug 2021,"This was a lovely holiday and just what we needed after so long without one. Staff are so friendly and work hard. Food and drink was good, entertainment was varied and my daughter loved the mini disco and slides. Rooms spacious and clean. The shuttle bus to the old town and beach was great and you can walk to the strip and another beach but it’s a steep hill - beware! The one thing I missed was a bath but that’s personal preference.",Aug,2021,Aug 2021,2021-08-01,2021,4
The Boliqueime Inn Hotel,AndreaBen,0,AndreaBenwrote a review Oct 2012,We ate here mid-week (on our last night) with my 2 year old son.  We were greeted warmly and my little one felt comfortable in the lounge wandering about and looking in the pond!!  We ate in the restaurant and although my little boy had grown tired (entirely my fault for arriving later than planned!) we had a lovely meal.  I had the liver and onions and it was wonderful - the meat just melted in your mouth and the vegetables were cooked to perfection.  Mum had the homemade pie and fell in love instantly.  I only wish we could have returned to sample more of the menu!  We certainly will when we return again in the future.,Oct,2012,Oct 2012,2012-10-01,2012,5
Casas do Porto - Ribeira Apartments,Mirjam B,0,Mirjam Bwrote a review May 2025,"Super apartment, super nice helpful staff where helps in everything and gives tips, for us everything was perfect, very well equipped kitchenette(if you want to cook yourself),Maybe individual blankets for the bed wouldn't be bad.Baumann Mirjam",May,2025,May 2025,2025-05-01,2025,5
